n,t,d,result
100000,1,u,0.012
100000,2,u,0.007
100000,4,u,0.007
100000,8,u,0.007
100000,16,u,0.010
1000000,1,u,0.138
1000000,2,u,0.072
1000000,4,u,0.038
1000000,8,u,0.023
1000000,16,u,0.020
10000000,1,u,1.572
10000000,2,u,0.773
10000000,4,u,0.396
10000000,8,u,0.227
10000000,16,u,0.154
100000000,1,u,17.362
100000000,2,u,9.518
100000000,4,u,4.798
100000000,8,u,2.508
100000000,16,u,1.713
100000,1,n,0.012
100000,2,n,0.008
100000,4,n,0.006
100000,8,n,0.007
100000,16,n,0.010
1000000,1,n,0.141
1000000,2,n,0.071
1000000,4,n,0.040
1000000,8,n,0.025
1000000,16,n,0.020
10000000,1,n,1.584
10000000,2,n,0.779
10000000,4,n,0.394
10000000,8,n,0.221
10000000,16,n,0.155
100000000,1,n,17.126
100000000,2,n,9.987
100000000,4,n,5.091
100000000,8,n,2.672
100000000,16,n,1.668
100000,1,e,0.011
100000,2,e,0.007
100000,4,e,0.006
100000,8,e,0.008
100000,16,e,0.009
1000000,1,e,0.132
1000000,2,e,0.068
1000000,4,e,0.037
1000000,8,e,0.025
1000000,16,e,0.019
10000000,1,e,1.506
10000000,2,e,0.765
10000000,4,e,0.394
10000000,8,e,0.230
10000000,16,e,0.154
100000000,1,e,17.047
100000000,2,e,9.101
100000000,4,e,4.899
100000000,8,e,2.496
100000000,16,e,1.665
